				Overall							PP		SH		Defense	
Player Name	Team	Pos	Games	G	A	Pts	+/-	PIM	SOG	GWG	G	A	G	A	Hits	BS
Alex Ovechkin	WAS	LW	70	46	33	79	9	36	283	4	16	9	0	0	189	37
Leon Draisaitl	EDM	C	70	42	47	89	7	46	196	5	16	12	2	0	51	22
Patrick Kane	CHI	RW	69	41	58	99	0	22	290	7	9	19	0	0	18	17
John Tavares	TOR	C	70	39	38	77	20	30	244	6	7	9	0	0	48	45
Cam Atkinson	CLS	RW	68	38	25	63	2	20	261	8	8	5	4	0	22	23
Alex DeBrincat	CHI	RW	70	38	31	69	-1	15	194	3	12	11	0	0	30	24
Brayden Point	TB	C	69	38	48	86	24	24	172	6	19	14	0	0	29	35
Joe Pavelski	SJ	C	71	37	25	62	2	20	177	6	11	9	1	0	69	57
Jeff Skinner	BUF	LW	70	36	22	58	-1	32	226	7	8	8	0	0	22	22
Jake Guentzel	PIT	LW	71	36	32	68	16	24	190	4	5	5	1	0	91	41
Nikita Kucherov	TB	RW	71	35	80	115	18	54	213	7	12	33	0	0	38	28
Steven Stamkos	TB	C	71	35	46	81	-2	33	203	6	17	18	0	0	63	31
Nathan MacKinnon	COL	C	70	35	52	87	16	28	304	6	9	23	0	0	45	25
Connor McDavid	EDM	C	66	34	66	100	5	20	210	8	9	22	0	1	35	25
Gabriel Landeskog	COL	LW	68	33	36	69	15	47	230	9	10	15	0	0	114	59
Sidney Crosby	PIT	C	68	33	59	92	23	32	193	3	11	15	0	2	78	36
Mark Scheifele	WPG	C	70	33	45	78	14	36	169	5	10	11	0	3	45	48
Johnny Gaudreau	CGY	LW	70	33	57	90	15	20	222	7	6	21	0	0	12	9
Auston Matthews	TOR	C	56	32	31	63	-2	10	189	4	11	6	0	0	18	51
Mike Hoffman	FLA	LW	70	32	31	63	-19	24	217	6	15	17	0	0	36	24
Sean Monahan	CGY	C	70	31	45	76	5	10	192	4	12	10	0	0	34	22
Tomas Hertl	SJ	LW	66	31	32	63	10	18	153	5	10	2	1	1	45	56
David Pastrnak	BOS	RW	56	31	35	66	1	20	206	2	15	14	0	0	45	24
Brad Marchand	BOS	LW	70	30	55	85	12	92	206	7	9	20	2	4	44	17
Sebastian Aho	CAR	LW	69	30	47	77	25	24	213	7	3	19	4	1	52	31
Mikko Rantanen	COL	RW	70	30	56	86	12	50	183	4	15	17	0	0	53	40
Matthew Tkachuk	CGY	LW	70	30	38	68	9	58	177	1	11	13	0	0	82	12
Mark Stone	VGK	RW	66	30	37	67	15	22	167	4	5	14	1	0	62	61
Jonathan Toews	CHI	C	70	30	41	71	3	30	195	5	7	13	1	0	30	31
Aleksander Barkov	FLA	C	70	30	48	78	-12	4	178	5	12	18	0	0	25	54
Brendan Gallagher	MON	RW	71	30	16	46	10	40	259	3	4	3	0	0	110	24
Viktor Arvidsson	NSH	LW	48	29	11	40	6	22	159	5	1	1	1	0	17	18
